"","election","province","electoral_district_circonscripti","candidate_candidat","media_mentions","quality","donations","amount","transfers","spending","limit","excluded","readsecond","order_of_precedence","bill__1_","passed","votes_obtained_votes_obtenus","current_vote","previous_vote","majority_majoritÈ","majority_percentage_pourcentage_","winner","liberal_","con","ndp","bq","other","gender","female","province0","prov","years_served","parliaments","former_minister","switcher","exminister","partyswitcher","area","pop_per_km2","population_2006","_65_or_over","average_people_in_households","first_language_spoken_english","first_language_spoken_french","english_and_french","neither_english_nor_french","citizens","non_citizens","non_immigrants","immigrants","unemployment_rate","self_employed","no_high_school","high_school","high_school0","high_school1","doctorate","median_income","average_income","median_family_income","average_family_income","date_of_intro","before_ind","__","after_ind","__0","before_corp","__1","after_corp","__2","before_union","__3","after_union","__4","before_transfer","__5","after_transfer","__6","dist1","match","news_treated_3_months_before","news_treated_day_of","news_treated_10_days_after","news_treated_3_months_after","news_control_3_months_before","news_control_day_of","news_control_10_days_after","news_control_3_months_after","match_donations_3_months_before_","match_donations_3_months_before0","match_donations_3_months_after_a","match_donations_3_months_after_n","gov","govpassed","govorder","motion","y2006","introbill","intromotion","place_on_paper","check","senate","test","newplace","id","optout","p2p","govp2p","transfersshare","donationsshare","share"
"99",2006,"QC","Terrebonne--Blainville","Diane Bourgeois ** Bloc QuÈbÈcois/Bloc QuÈbÈcois",3,0,6,7.23,33310,42306,78841,0,1,1,1,0,30197,59.1699981689453,68.129997253418,19985,39.2000007629395,1,0,0,0,1,0,"Female",1,"QC","10",6,2,"No","No",0,0,227,474.422912597656,107694,7.34952735900879,2.70000004768372,3.29809141159058,95.6820755004883,0.879491031169891,0.140344306826591,98.9333343505859,1.06666672229767,95.4628448486328,4.53715419769287,4.40000009536743,6.32347202301025,8.8862886428833,13.1297941207886,7.42381191253662,1.20248115062714,0.17178301513195,30619,37419,73940,83940,"06/02/2005",1096,2,4423.35009765625,18,256,4,7747.5,32,0,0,0,0,1604.75,1,1860,2,16.2814540863037,22,0,0,0,0,3,0,0,0,4286.2099609375,13,4435.93994140625,12,0,0,0,0,1,1,NA,42,42,0,"Diane Bourgeois ** Bloc QuÈbÈcois/Bloc QuÈbÈcois",42,74,0,1,0,0.422495909488718,0.422495909488718,0.844991818977436
"100",2006,"ON","Haldimand--Norfolk","Diane Finley ** Conservative/Conservateur",83,1,178,36609,54104.01,82341.8828125,79577.35,0,0,0,0,0,25885,48.3300018310547,42.1500015258789,7522,14,1,0,1,0,0,0,"Female",1,"ON","8",2,1,"No","No",0,0,3073,35.071590423584,107775,14.5256319046021,2.59999990463257,98.6205596923828,0.839863002300262,0.0750715509057045,0.464505225419998,97.9402236938477,2.05977582931519,88.8302917480469,11.1697120666504,6,7.1213173866272,10.480167388916,14.6926469802856,3.56761765480042,0.705172836780548,0.148457437753677,25037,32532,66705,76422,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.9761600494385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,NA,NA,88,0,0,"Diane Finley ** Conservative/Conservateur",158,77,0,0,0,0.679892079844328,0.679892079844328,1
"101",2008,"BC","Cariboo--Prince George","Dick  Harris",753,0,32,7740,28269.39,73476.453125,104005.28,0,0,0,0,0,22619,55.4000015258789,44.939998626709,NA,29.5,1,0,1,0,0,0,"Male",0,"BC","2",15,5,"No","No",0,0,87126,1.22101318836212,106382,10.1661939620972,2.5,98.2100677490234,1.19486165046692,0.174742609262466,0.420326828956604,97.5442733764648,2.455726146698,89.7985305786133,10.2014694213867,8.89999961853027,6.21815729141235,10.998101234436,16.7086544036865,4.86454486846924,1.33951234817505,0.25850236415863,25438,34052,68698,75713,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5240440368652,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA,252,0,0,"Dick  Harris",252,78,0,0,0,0.271807258246889,0.271807258246889,0.543614516493778
"102",2006,"BC","Cariboo--Prince George","Dick Harris ** Conservative/Conservateur",396,0,72,34020.65,78433.73,85222.09375,96598.33,0,1,1,1,0,19624,44.939998626709,46.7200012207031,9115,20.8999996185303,1,0,1,0,0,0,"Male",0,"BC","2",13,4,"No","No",0,0,87126,1.22101318836212,106382,10.1661939620972,2.5,98.2100677490234,1.19486165046692,0.174742609262466,0.420326828956604,97.5442733764648,2.455726146698,89.7985305786133,10.2014694213867,8.89999961853027,6.21815729141235,10.998101234436,16.7086544036865,4.86454486846924,1.33951234817505,0.25850236415863,25438,34052,68698,75713,"8-Mar-05",0,0,400,1,0,0,0,0,0,0,0,0,0,0,1775,2,14.9054889678955,12,78,0,30,80,1,0,0,47,0,0,0,0,0,0,0,0,1,1,NA,18,18,0,"Dick Harris ** Conservative/Conservateur",18,78,0,1,0,0.811957411686103,0.811957411686103,1
"103",2008,"NB","BeausÈjour","Dominic  LeBlanc",391,1,0,0,68312.59,56379.69921875,81262.8,0,0,0,0,0,19972,46.5999984741211,47.5499992370605,NA,NA,1,1,0,0,0,0,"Male",0,"NB","4",8,3,"No","No",0,0,6820,11.1816711425781,76259,14.0376873016357,2.40000009536743,40.7243461608887,58.8464126586914,0.348759233951569,0.0804829001426697,98.6519088745117,1.34808850288391,96.6406860351562,3.35931205749512,12,4.90433931350708,14.7458009719849,13.5590553283691,4.49782991409302,1.18674516677856,0.295047134160995,21901,26758,53401,60782,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3302154541016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,229,0,0,"Dominic  LeBlanc",229,79,0,0,0,0.84063790565917,0.84063790565917,1
"104",2008,"BC","North Vancouver","Don  Bell",405,0,49,18125,73000,88697.421875,89265.68,0,1,1,0,1,21510,37.2999992370605,42.3499984741211,NA,NA,0,1,0,0,0,0,"Male",0,"BC","2",4,2,"No","No",0,0,433,282.611999511719,122371,12.6868295669556,2.5,96.8329162597656,1.24788928031921,0.646596133708954,1.27259993553162,90.2228088378906,9.77719211578369,66.9322738647461,33.0677299499512,4.80000019073486,9.2464714050293,2.48016285896301,11.3221273422241,13.7042274475098,4.17174005508423,0.588374674320221,30646,43113,80185,101570,"04/14/2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.0226497650146,NA,19,1,8,27,0,0,0,0,NA,NA,NA,NA,0,0,0,1,0,1,NA,90,90,0,"Don  Bell",90,80,0,1,0,0.81778349753231,0.81778349753231,1
"105",2006,"BC","North Vancouver","Don Bell ** Liberal/LibÈral",325,0,58,48103,48800,78709.2421875,83093.96,0,0,0,0,0,25357,42.3499984741211,40.0299987792969,3336,5.59999990463257,1,1,0,0,0,0,"Male",0,"BC","2",2,1,"No","No",0,0,433,282.611999511719,122371,12.6868295669556,2.5,96.8329162597656,1.24788928031921,0.646596133708954,1.27259993553162,90.2228088378906,9.77719211578369,66.9322738647461,33.0677299499512,4.80000019073486,9.2464714050293,2.48016285896301,11.3221273422241,13.7042274475098,4.17174005508423,0.588374674320221,30646,43113,80185,101570,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.0215492248535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,NA,NA,88,0,0,"Don Bell ** Liberal/LibÈral",121,80,0,0,0,0.587286970075803,0.587286970075803,1
"106",2008,"BC","Abbotsford","Ed  Fast",450,0,NA,NA,NA,NA,NA,0,1,1,1,1,30853,63.2999992370605,63.2700004577637,NA,47,1,0,1,0,0,0,"Male",0,"BC","2",2,1,"No","No",0,0,411,302.956207275391,124515,13.1510257720947,2.79999995231628,93.761962890625,0.908017456531525,0.321674346923828,5.00834703445435,91.5672454833984,8.43275356292725,73.6788024902344,26.3212013244629,5.5,6.88672065734863,9.07521152496338,15.3274707794189,4.75444746017456,1.71063733100891,0.252981573343277,22976,31038,64054,75903,"05/31/2006",400,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1227912902832,NA,45,0,5,44,1,0,0,0,NA,NA,NA,NA,1,1,1,0,0,1,NA,1,1,0,"Ed  Fast",1,81,0,1,1,NA,NA,NA
"107",2006,"SK","Souris--Moose Mountain","Ed Komarnicki ** Conservative/Conservateur",13,0,0,0,42000,40291.671875,83197.94,0,0,0,0,0,19282,62.8199996948242,36.9000015258789,13601,44.2999992370605,1,0,1,0,0,0,"Male",0,"SK","11",2,1,"No","No",0,0,40626,1.55658936500549,63238,17.2443790435791,2.40000009536743,98.1869430541992,1.69218373298645,0,0.120870262384415,98.9846878051758,1.01531028747559,97.1165466308594,2.88345050811768,3.70000004768372,12.5478353500366,11.5120658874512,14.366361618042,3.69240021705627,0.442771762609482,0.0474398322403431,23333,33409,59453,74029,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.0524520874023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,NA,NA,88,0,0,"Ed Komarnicki ** Conservative/Conservateur",151,82,0,0,0,0.504820191461471,0.504820191461471,1
"108",2008,"NFLD","Avalon","Fabian  Manning",107,0,NA,NA,NA,NA,NA,0,0,0,0,0,11542,35.2000007629395,51.5499992370605,NA,10.1000003814697,0,0,1,0,0,0,"Male",0,"NFLD","5",2,1,"No","No",0,0,9335,8.39646530151367,78381,13.9000520706177,2.59999990463257,99.8516159057617,0.0838709697127342,0,0.0645161271095276,99.5096740722656,0.490322589874268,99.0110549926758,0.988947033882141,20.6000003814697,3.08748292922974,15.2651786804199,11.5589237213135,3.4447124004364,0.899452686309814,0.102065548300743,18344,25052,49229,57864,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.1433181762695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA,255,0,0,"Fabian  Manning",255,83,0,0,0,NA,NA,NA
