2008	"MB"	"Winnipeg South Centre"	"Anita  Neville"	337	0	98	22325	12000	74911.16	77551.98	0	0	0	0	0	16438	42.3	39.25			1	1	0	0	0	0	"Female"	1	"MB"	"3"	8	3	"No"	"No"	0	0	34	2302.5293	78286	15.724395	2.1	97.188965	2.082249	0.26678813	0.46199897	94.989914	5.010085	84.44283	15.557163	4.5	6.1249776	4.8603835	10.82569	14.127686	4.406918	1.2326597	29230	42423	70922	98567																		26.46268														0	0	0	0	0	1		139	0		"Anita  Neville"	139	8
2008	"ON"	"Nipissing--Timiskaming"	"Anthony  Rota"	29	0	0	0	70000	77996.5	87382.78	0	0	1	1	0	18543	44.6	44.69			1	1	0	0	0	0	"Male"	0	"ON"	"8"	4	2	"No"	"No"	0	0	16160	5.6288986	90963	14.956631	2.4	81.9652	17.772697	0.17845193	0.083649345	98.67284	1.3271623	94.56151	5.4384885	7.7	5.1614394	8.607896	13.527478	5.232897	1.0883546	0.18688917	23848	31578	59658	70762																		40.212303														0	0	0	0	0	1		104	104		"Anthony  Rota"	104	9
2006	"ON"	"Nipissing--Timiskaming"	"Anthony Rota ** Liberal/LibÈral"	17	0	163	58610	26300	76913.23	81221.64	0	0	0	0	0	21393	44.69	42.31	4882	10.2	1	1	0	0	0	0	"Male"	0	"ON"	"8"	2	1	"No"	"No"	0	0	16160	5.6288986	90963	14.956631	2.4	81.9652	17.772697	0.17845193	0.083649345	98.67284	1.3271623	94.56151	5.4384885	7.7	5.1614394	8.607896	13.527478	5.232897	1.0883546	0.18688917	23848	31578	59658	70762																		43.33954														1	0	0	0	1			88	0		"Anthony Rota ** Liberal/LibÈral"	207	9
2006	"AL"	"Calgary Northeast/Calgary-Nord-Est"	"Art Hanger ** Conservative/Conservateur"	108	0	96	50067.5	14000	60428.64	80615.75	0	0	0	0	0	27169	64.86	62.24	17928	42.8	1	0	1	0	0	0	"Male"	0	"AL"	"1"	13	4	"No"	"No"	0	0	127	1015.86615	129015	5.898539	3.2	93.39732	1.301881	0.4935489	4.807244	86.73636	13.26364	62.662846	37.337154	4.4	4.8715267	11.018099	15.529202	6.855792	1.5657095	0.14339417	26256	32766	70916	78121																		14.349772	11													0	0	0	0	1	1		88	0		"Art Hanger ** Conservative/Conservateur"	163	10
2008	"ON"	"Haliburton--Kawartha Lakes--Brock"	"Barry  Devolin"	14	1	173	31025	49106.8	81075.5	95766.83	0	0	0	0	0	30444	56.0	49.0		35.5	1	0	1	0	0	0	"Male"	0	"ON"	"8"	4	2	"No"	"No"	0	0	10831	11.0	119141	18.368992	2.5	98.8114	1.0096707	0.10650535	0.07242364	98.59839	1.4016104	91.30731	8.692685	6.3	8.431187	9.396429	15.330575	3.911332	0.8267515	0.13009796	24589	32425	62863	74249																		19.818195														1	0	0	0	0	0		210	0		"Barry  Devolin"	210	11
2006	"ON"	"Haliburton--Kawartha Lakes--Brock"	"Barry Devolin ** Conservative/Conservateur"	4	0	275	47980	25000	72619.63	88670.04	0	0	1	0	0	29427	49.0	44.23	12161	20.3	1	0	1	0	0	0	"Male"	0	"ON"	"8"	2	1	"No"	"No"	0	0	10831	11.0	119141	18.368992	2.5	98.8114	1.0096707	0.10650535	0.07242364	98.59839	1.4016104	91.30731	8.692685	6.3	8.431187	9.396429	15.330575	3.911332	0.8267515	0.13009796	24589	32425	62863	74249																		23.286488														0	0	0	1	1			72	72		"Barry Devolin ** Conservative/Conservateur"	72	11
2006	"QC"	"Repentigny"	"Benoit Sauvageau ** Bloc QuÈbÈcois/Bloc QuÈbÈcois"	26	0	0	0	55473	64220.88	82824.96	0	1	1	1	0	34958	62.42	70.06	24834	44.3	1	0	0	0	1	0	"Male"	0	"QC"	"10"	13	4	"No"	"No"	0	0	266	412.1654	109636	10.585027	2.6	1.5209999	97.87244	0.4411359	0.16542597	99.375084	0.6249139	96.69794	3.3020604	4.6	5.4452915	8.924988	14.146813	6.088329	1.1310153	0.1094531	29607	34893	70611	78242	"12/02/2004"	2625.0	7	1140.0	3	883.75	3	580.0	3	0	0	0	0	3137.33	2	1417.7	1	21.70014		0	0	0	16	0	0	0	8	0.0	0	1090.0	2	0	0	0	0	1	1		17	17		"Benoit Sauvageau ** Bloc QuÈbÈcois/Bloc QuÈbÈcois"	17	12
2008	"QC"	"Rosemont--La Petite-Patrie"	"Bernard  Bigras"	183	0	0	0	65000	52570.98	86436.07	0	1	1	1	0	27265	51.9	55.99			1	0	0	0	1	0	"Male"	0	"QC"	"10"	11	4	"No"	"No"	0	0	11	9624.0	105864	12.053201	1.9	6.316394	88.05149	4.2444253	1.3876926	92.95114	7.0488586	80.589516	19.410486	8.6	5.733772	8.3786745	9.701126	13.205623	4.765548	0.7509635	22286	28183	49652	59563	"01/30/2007"	3400.0	8	0.0	0													23.70415		36	1	13	36	6	0	2	8					0	0	0	0	0	1		40	40		"Bernard  Bigras"	40	13
2008	"QC"	"Pierrefonds--Dollard"	"Bernard  Patry"	35	0	61	12451	35000	44616.95	85897.22	0	0	0	0	0	20883	46.8	51.12			1	1	0	0	0	0	"Male"	0	"QC"	"10"	15	5	"No"	"No"	0	0	53	1990.6415	105504	11.729413	2.8	53.945736	34.957485	9.463075	1.633706	93.1499	6.8501005	66.1079	33.8921	6.7	6.4879055	4.653852	11.871588	11.217585	3.3505838	0.6871777	26061	36171	72837	88323																		21.451206														0	0	0	0	0	0		177	0		"Bernard  Patry"	177	14
2006	"QC"	"Rosemont--La Petite-Patrie"	"Bernard Bigras ** Bloc QuÈbÈcois/Bloc QuÈbÈcois"	16	0	0	0	78000	51230.23	81616.57	0	0	0	0	0	29336	55.99	61.8	21077	40.2	1	0	0	0	1	0	"Male"	0	"QC"	"10"	9	3	"No"	"No"	0	0	11	9624.0	105864	12.053201	1.9	6.316394	88.05149	4.2444253	1.3876926	92.95114	7.0488586	80.589516	19.410486	8.6	5.733772	8.3786745	9.701126	13.205623	4.765548	0.7509635	22286	28183	49652	59563																		23.134556														0	0	0	0	1		1	88	0		"Bernard Bigras ** Bloc QuÈbÈcois/Bloc QuÈbÈcois"	92	13
2006	"QC"	"Louis-Saint-Laurent"	"Bernard Cleary ** Bloc QuÈbÈcois/Bloc QuÈbÈcois"	18	0	1	200	26200	36052.0	79200.4	0	0	0	0	0	11997	24.19	38.44		24.7	0	0	0	0	1	0	"Male"	0	"QC"	"10"	2	1	"No"	"No"	0	0	144	668.6528	96286	9.757389	2.4	1.6031854	98.03531	0.26719758	0.09430502	99.35034	0.64965683	97.6888	2.3111997	4.1	4.429512	6.2989426	13.335272	7.991816	2.1602309	0.30118605	29872	34463	67532	75661																		38.18647														0	0	0	0	1		1	48	0		"Bernard Cleary ** Bloc QuÈbÈcois/Bloc QuÈbÈcois"	48	15
2006	"QC"	"Pierrefonds--Dollard"	"Bernard Patry ** Liberal/LibÈral"	28	0	90	18591.25	22300	39758.11	80757.7	0	0	0	0	0	24388	51.12	63.57	13375	28.0	1	1	0	0	0	0	"Male"	0	"QC"	"10"	13	4	"No"	"No"	0	0	53	1990.6415	105504	11.729413	2.8	53.945736	34.957485	9.463075	1.633706	93.1499	6.8501005	66.1079	33.8921	6.7	6.4879055	4.653852	11.871588	11.217585	3.3505838	0.6871777	26061	36171	72837	88323																		19.833385														1	0	0	0	1			88	0		"Bernard Patry ** Liberal/LibÈral"	194	14
2006	"BC"	"Kamloops--Thompson--Cariboo"	"Betty Zane Hinton ** Conservative/Conservateur"	478	0	143	35780	39979.6	50690.98	98387.78	0	0	1	1	0	20948	39.27	40.35	4531	8.5	1	0	1	0	0	0	"Female"	1	"BC"	"2"	6	2	"No"	"No"	0	0	44344	2.586032	114675	14.1661215	2.4	98.47785	1.0514276	0.17597114	0.29475167	97.04795	2.9520457	89.3505	10.6495	6.8	7.311969	8.319163	16.341835	4.9749293	1.4344888	0.29212993	24486	31968	62241	71607																		17.972868	31													0	0	0	0	1	1		79	79		"Betty Zane Hinton ** Conservative/Conservateur"	79	16
2008	"ON"	"Lambton--Kent--Middlesex"	"Bev  Shipley"	6	0	87	17150	59205.09	72429.83	84909.11	0	0	0	0	0	24516	51.3	46.36			1	0	1	0	0	0	"Male"	0	"ON"	"8"	2	1	"No"	"No"	0	0	5277	20.397005	107635	14.001022	2.6	98.27789	1.1339575	0.089399144	0.49875313	98.08027	1.919729	89.51514	10.484859	5.3	8.482371	9.504343	14.948669	3.6372926	0.95229244	0.16258653	26031	33496	67239	78075																		22.357088														1	0	0	0	0	0		163	0		"Bev  Shipley"	163	17
2006	"ON"	"Durham"	"Bev Oda ** Conservative/Conservateur"	142	0	226	41955	55000	64839.53	81922.55	0	1	1	1	0	27087	47.02	40.74	9797	17.0	1	0	1	0	0	0	"Female"	1	"ON"	"8"	2	1	"No"	"No"	0	0	1625	72.92308	118500	11.130802	2.8	98.313225	1.5253229	0.059483346	0.10197145	97.450714	2.5492861	88.19947	11.800529	5.3	6.886076	6.7130804	15.919831	5.64557	1.0843881	0.1814346	32712	41440	86063	96933	"02/21/2005"	0.0	0	21865.0	44	0.0	0	10750.0	31	0	0	0	0	0.0	0	0.0	0	13.864307	9	13	0	2	30	14	0	0	13	325.0	2	2160.0	4	0	0	0	0	1	1		1	1		"Bev Oda ** Conservative/Conservateur"	1	18
2008	"BC"	"Burnaby--Douglas"	"Bill  Siksay"	277	0	181	32467.54	38236.31	69094.92	85965.84	0	0	0	0	0	17937	37.9	35.57			1	0	0	1	0	0	"Male"	0	"BC"	"2"	8	3	"No"	"No"	0	0	58	1933.0862	112119	13.726487	2.5	93.17416	0.87683797	0.67449075	5.2745175	88.54317	11.456835	51.78924	48.21076	6.7	6.4083695	5.1284795	13.026338	11.996182	3.803994	0.6510939	23842	32353	64442	78973																		36.838657														0	0	0	0	0	1		186	0		"Bill  Siksay"	186	19
2006	"MB"	"Elmwood--Transcona"	"Bill Blaikie ** N.D.P./N.P.D."	294	0	164	24430	20700	40314.57	71875.52	0	0	0	0	0	16967	50.85	51.99	6247	18.7	1	0	0	1	0	0	"Male"	0	"MB"	"3"	27	8	"No"	"No"	0	0	46	1710.8695	78700	12.750953	2.5	96.82011	2.301577	0.12181049	0.7565072	96.31363	3.6863701	85.28787	14.712126	5.0	3.3672173	10.482846	16.39136	4.8538756	0.68614995	0.076238886	26084	29457	59556	65172																		48.525295														0	0	0	0	1		1	88	0		"Bill Blaikie ** N.D.P./N.P.D."	150	20
2006	"NS"	"Cumberland--Colchester--Musquodoboit Valley"	"Bill Casey ** Conservative/Conservateur"	158	0	163	42774.95	7000	50744.39	79109.62	0	0	0	0	0	22439	52.04	50.49	12140	28.2	1	0	1	0	0	0	"Male"	0	"NS"	"6"	14	4	"No"	"No"	0	0	10086	8.714555	87895	16.656237	2.3	99.04713	0.8893509	0.017325018	0.046200044	98.9836	1.016401	96.44943	3.5505695	9.0	4.6874113	12.179305	12.935889	4.7556744	1.4562831	0.13083793	20756	26779	50353	58555																		20.370266														0	0	0	0	1	1	1	88	0		"Bill Casey ** Conservative/Conservateur"	120	21
2006	"NFLD"	"Random--Burin--St. George's"	"Bill Matthews ** Liberal/LibÈral"	270	0	52	22300	4000	24312.48	85393.45	0	0	0	0	0	13652	45.49	46.77	1420	4.7	1	1	0	0	0	0	"Male"	0	"NFLD"	"5"	9	3	"No"	"Yes"	0	1	38281	1.8604269	71219	14.293939	2.5	99.14536	0.78400904	0.035315722	0.035315722	99.75987	0.24012995	99.26481	0.73519015	26.4	2.7169716	20.780972	10.158806	3.3839285	0.8354512	0.04212359	17174	23539	44018	52597																		53.254124														1	0	0	0	1			88	0		"Bill Matthews ** Liberal/LibÈral"	176	22
2006	"BC"	"Burnaby--Douglas"	"Bill Siksay ** N.D.P./N.P.D."	313	0	229	45158	32986.02	77179.14	78494.81	0	1	1	1	0	17323	35.57	34.59	1244	2.6	1	0	0	1	0	0	"Male"	0	"BC"	"2"	6	2	"No"	"No"	0	0	58	1933.0862	112119	13.726487	2.5	93.17416	0.87683797	0.67449075	5.2745175	88.54317	11.456835	51.78924	48.21076	6.7	6.4083695	5.1284795	13.026338	11.996182	3.803994	0.6510939	23842	32353	64442	78973	"12/13/2004"	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0.0	0	1000.0	1	37.8953		47	7	21	73	27	0	2	73	1173.22	4	5262.6	3	0	0	0	0	1	1	1	16	16		"Bill Siksay ** N.D.P./N.P.D."	16	19
2008	"AL"	"Wetaskiwin"	"Blaine  Calkins"	17	0	26	3840	35000	32626.28	90704.06	0	0	0	0	0	32528	77.1	75.15		68.5	1	0	1	0	0	0	"Male"	0	"AL"	"1"	2	1	"No"	"No"	0	0	15133	7.131038	107914	11.717664	2.7	99.080376	0.7835593	0.046919722	0.08914747	98.16535	1.8346472	94.03188	5.9681134	4.5	11.652798	12.255129	13.371759	3.674222	0.5837982	0.18996608	24683	36438	67116	82661																		22.437386														1	0	0	0	0	0		145	0		"Blaine  Calkins"	145	23
