2006	"Zed, Paul"	64	1	64.0
2006	"Yelich, Lynne"	205	1	205.0
2006	"Wrzesnewskyj, Borys"	138	1	138.0
2006	"Williams, John"	131	1	131.0
2006	"White, Randy"	157	0	157.0
2006	"Watson, Jeff"	22	1	22.0
2006	"Wasylycia-Leis, Judy"	159	1	159.0
2006	"Warawa, Mark"	35	1	35.0
2006	"Wappel, Tom"	62	1	62.0
2006	"Vincent, Robert"	53	1	53.0
2006	"Vellacott, Maurice"	134	1	134.0
2006	"Van Loan, Peter"	187	1	187.0
2006	"Valley, Roger"	30	1	30.0
2006	"Ur, Rose-Marie"	200	0	200.0
2006	"Tweed, Merv"	114	1	114.0
2006	"Trost, Bradley"	111	1	111.0
2006	"Tonks, Alan"	172	1	172.0
2006	"Toews, Vic"	185	1	185.0
2006	"Tilson, David"	105	1	105.0
2006	"Thompson, Myron"	71	1	71.0
2006	"Thompson, Greg"	106	1	106.0
2006	"Thibault, Louise"	78	1	78.0
2006	"Temelkovski, Lui"	125	1	125.0
2006	"Telegdi, Andrew"	133	1	133.0
2006	"Szabo, Paul"	8	1	8.0
2006	"Stoffer, Peter"	54	1	54.0
2006	"Stinson, Darrel"	206	0	206.0
2006	"Steckle, Paul"	184	1	184.0
2006	"St. Denis, Brent"	129	1	129.0
2006	"St. Amand, Lloyd"	208	1	208.0
2006	"St-Hilaire, Caroline"	40	1	40.0
2006	"Sorenson, Kevin"	136	1	136.0
2006	"Solberg, Monte"	117	1	117.0
2006	"Smith, Joy"	80	1	80.0
2006	"Smith, David"	178	1	178.0
2006	"Skelton, Carol"	220	1	220.0
2006	"Simms, Scott"	50	1	50.0
2006	"Simard, Christian"	43	1	43.0
2006	"Silva, Mario"	107	1	107.0
2006	"Siksay, Bill"	16	1	16.0
2006	"Sgro, Judy"	233	1	233.0
2006	"Schmidt, Werner"	181	0	181.0
2006	"Schellenberger, Gary"	156	1	156.0
2006	"Scheer, Andrew"	155	1	155.0
2006	"Scarpaleggia, Francis"	115	1	115.0
2006	"Savoy, Andy"	5	1	5.0
2006	"Savage, Michael"	122	1	122.0
2006	"Sauvageau, Benot"	17	1	17.0
2006	"Russell, Todd"	234	1	234.0
2006	"Roy, Jean-Yves"	36	1	36.0
2006	"Rota, Anthony"	207	1	207.0
2006	"Rodriguez, Pablo"	110	1	110.0
2006	"Ritz, Gerry"	190	1	190.0
2006	"Richardson, Lee"	225	1	225.0
2006	"Reynolds, John"	70	0	70.0
2006	"Reid, Scott"	29	1	29.0
2006	"Redman, Karen"	231	1	231.0
2006	"Ratansi, Yasmin"	124	1	124.0
2006	"Rajotte, James"	211	1	211.0
2006	"Proulx, Marcel"	75	1	75.0
2006	"Preston, Joe"	60	1	60.0
2006	"Prentice, Jim"	203	1	203.0
2006	"Powers, Russ"	193	1	193.0
2006	"Poirier-Rivard, Denise"	56	0	56.0
2006	"Poilievre, Pierre"	58	1	58.0
2006	"Plamondon, Louis"	223	1	223.0
2006	"Picard, Pauline"	204	1	204.0
2006	"Phinney, Beth"	216	0	216.0
2006	"Perron, Gilles-A."	148	1	148.0
2006	"Penson, Charlie"	188	0	188.0
2006	"Patry, Bernard"	194	1	194.0
2006	"Parrish, Carolyn"	146	0	146.0
2006	"Paradis, Denis"	198	1	198.0
2006	"Paquette, Pierre"	94	1	94.0
2006	"Pallister, Brian"	91	1	91.0
2006	"Pacetti, Massimo"	224	1	224.0
2006	"Oda, Bev"	1	1	1.0
2006	"Obhrai, Deepak"	175	1	175.0
2006	"OÕConnor, Gordon"	118	1	118.0
2006	"OÕBrien, Pat"	143	0	143.0
2006	"Nicholson, Rob"	173	1	173.0
2006	"Myers, Lynn"	215	1	215.0
2006	"Moore, Rob"	4	1	4.0
2006	"Moore, James"	147	1	147.0
2006	"Minna, Maria"	226	1	226.0
2006	"Mills, Bob"	84	1	84.0
2006	"Miller, Larry"	192	1	192.0
2006	"Merrifield, Rob"	86	1	86.0
2006	"Menzies, Ted"	103	1	103.0
2006	"Mnard, Serge"	229	1	229.0
2006	"Mnard, Ral"	141	1	141.0
2006	"McGuinty, David"	179	1	179.0
2006	"McDonough, Alexa"	21	1	21.0
2006	"Matthews, Bill"	176	1	176.0
2006	"Masse, Brian"	25	1	25.0
2006	"Martin, Tony"	116	1	116.0
2006	"Martin, Pat"	11	1	11.0
2006	"Mark, Inky"	13	1	13.0
2006	"Marceau, Richard"	130	1	130.0
2006	"Maloney, John"	210	1	210.0
2006	"Mackenzie, Dave"	149	1	149.0
2006	"MacKay, Peter"	76	1	76.0
2006	"MacAulay, Lawrence"	144	1	144.0
2006	"Lunney, James"	74	1	74.0
2006	"Lunn, Gary"	164	1	164.0
2006	"Lukiwski, Tom"	101	1	101.0
2006	"Loubier, Yvan"	177	1	177.0
2006	"Lvesque, Yvon"	27	1	27.0
2006	"Lessard, Yves"	98	1	98.0
2006	"Lemay, Marc"	140	1	140.0
2006	"Lee, Derek"	39	1	39.0
2006	"Layton, Jack"	128	1	128.0
2006	"Lavalle, Carole"	217	1	217.0
2006	"Lauzon, Guy"	213	1	213.0
2006	"Lapierre, Ral"	191	1	191.0
2006	"Lalonde, Francine"	63	1	63.0
2006	"Laframboise, Mario"	132	1	132.0
2006	"Kramp, Daryl"	28	1	28.0
2006	"Kotto, Maka"	82	1	82.0
2006	"Komarnicki, Ed"	151	1	151.0
2006	"Kilgour, David"	83	0	83.0
2006	"Khan, Wajid"	9	1	9.0
2006	"Kenney, Jason"	97	1	97.0
2006	"Keddy, Gerald"	85	1	85.0
